device_id,event_date,maintenance_type,pre_level_median_3d,post_day1_level,post_level_median_3d,jump_gain,plateau_gain,jump_gain_ratio,plateau_gain_ratio,post_day7_level,post_7d_change,hold_ratio_7d,upper_recovery_ratio,eligible_jump,eligible_plateau,eligible_post_decay,ineligible_reason
a1,2024-05-18,medium,83.8064688426062,105.617518400501,105.486085217334,21.811049557894805,21.6796163747278,0.2602549643137611,0.2586866703027839,103.750314015008,-1.8672043854929967,0.919935335924606,0.9468715993355427,True,True,True,
a1,2024-07-19,medium,99.80800108652022,111.025325492734,111.44991202038,11.217324406213777,11.641910933859776,0.11238902977818234,0.11664306275173063,109.0307332272705,-1.9945922654634956,0.7922008846439923,1.0004045199243181,True,True,True,
a1,2024-10-01,medium,93.42752441055603,98.7687499011478,98.2425944710745,5.341225490591768,4.815070060518465,0.05716972085357195,0.05153802469772418,95.6813081432447,-3.0874417579030933,0.46806873095549456,0.8818520694747845,True,True,True,
a1,2024-12-02,major,74.5229962777527,93.2118541734271,92.87159532643865,18.688857895674403,18.348599048685955,0.250779743557541,0.24621392006702703,90.55016867899755,-2.6616854944295483,0.8734820766816336,0.833640530107927,True,True,True,
a1,2025-01-21,medium,70.24445444566715,95.95025920466365,95.61342382083934,25.705804758996507,25.3689693751722,0.36594781697506806,0.36115262870743275,94.12682435865725,-1.823434846006407,0.9414008728459822,0.8582519234139546,True,True,True,
a1,2025-03-14,medium,82.1543781691911,113.74357827795899,113.499943272866,31.589200108767884,31.3455651036749,0.38451024537867196,0.3815446699519889,111.798921180897,-1.9446570970619916,0.9457332453141966,1.0188061542889832,True,True,True,
a1,2025-05-10,medium,98.887254130932,107.04536145571,106.579016923193,8.158107324777987,7.691762792260988,0.08249907833396018,0.07778315678658326,105.250525853643,-1.7948356020669962,0.8272839262689368,0.9566820495969122,True,True,True,
a1,2025-06-29,medium,99.7680207809438,105.9504770681795,106.077377354786,6.182456287235695,6.309356573842194,0.06196831648901043,0.06324027002295021,105.688296919337,-0.2621801488424893,0.938332787044868,0.9521791973064996,True,True,True,
a1,2025-09-15,medium,89.6263951267003,112.083471882724,110.9992572194685,22.457076756023696,21.3728620927682,0.25056320433592427,0.23846615790531872,107.023391580209,-5.060080302515004,0.8139759840304777,0.996359320681137,True,True,True,
a1,2025-11-14,major,78.5215250062165,81.34907665342294,80.9568076297243,2.827551647206434,2.4352826235077885,0.036009892153553796,0.031014204363898797,76.6824498921624,-4.666626761260545,-0.7551793357787369,0.726690176808841,True,True,True,
a1,2026-01-19,medium,39.8456921577185,96.0550693748594,95.2839340078218,56.2093772171409,55.438241850103296,1.4106763911805353,1.3913233488495031,92.67403791542165,-3.38103145943775,0.9529224592032172,0.8552943338363918,True,True,True,
a1,2026-03-07,medium,72.3043569048217,104.511709007119,104.17905910518749,32.20735210229729,31.87470220036579,0.44544137422719415,0.4408406846398517,102.699322065037,-1.812386942082,0.9535764434488265,0.9351393798429748,True,True,True,pre_window_valid_days_lt_2
a2,2024-06-04,medium,64.26062799877144,86.3002811354539,86.5552878745284,22.03965313668246,22.294659875756963,0.34297288749035915,0.34694120754909524,85.90449104905025,-0.3957900864036503,0.9708092956293168,0.9320004861068598,True,True,True,pre_window_valid_days_lt_2
a2,2024-08-16,medium,83.41130013371256,99.55602939774955,99.62844915031208,16.144729264036997,16.21714901659952,0.19355566018220763,0.19442388490051835,99.7242605738875,0.1682311761379509,1.0059080312746314,1.072768230784067,True,True,True,
a2,2024-11-03,medium,73.8385011604706,90.0483654315598,90.0742787140604,16.209864271089202,16.2357775535898,0.21953132872863818,0.2198822741310141,89.0839509589273,-0.9644144726324981,0.9390033676019336,0.9698918877021466,True,True,True,
a2,2025-01-01,medium,63.343875224732,74.83520319685805,74.13905544225375,11.491327972126044,10.795180217521747,0.18141182444801493,0.1704218470881755,71.9306397200209,-2.90456347683714,0.7954257661536447,0.798306347404779,True,True,True,
a2,2025-02-20,medium,52.6757051924552,74.8634865434261,74.1610472790709,22.18778135097091,21.485342086615702,0.42121469982994914,0.4078795339923247,71.1876447961636,-3.67584174726251,0.8616078593991955,0.7985431486806719,True,True,True,pre_window_valid_days_lt_2
a2,2025-04-07,medium,61.3572095662684,76.38399313556846,76.2480867946907,15.026783569300058,14.890877228422305,0.24490656722370158,0.2426915652404225,75.3784344050635,-1.0055587305049585,0.9415983104093226,0.8210157426821102,True,True,True,
a2,2025-05-28,medium,65.3934571754665,81.91460863572514,81.4699004945079,16.52115146025865,16.076443319041402,0.2526422699434348,0.2458417709267826,80.9556862799151,-0.9589223558100457,0.9680144292871206,0.8772426125371785,True,True,True,
a2,2025-07-21,medium,73.6012364148882,93.2768750194507,93.1811158243012,19.675638604562494,19.579879409412996,0.26732755539120895,0.26602650122671495,91.0031635123236,-2.2737115071271035,0.888765795414932,1.0033453458108725,True,True,True,
a2,2025-10-06,major,71.0447474098456,85.6687334850678,84.5497376255467,14.623986075222206,13.504990215701099,0.2058419039884653,0.19009132565132517,81.8657028092163,-3.8030306758515025,0.8012560710181117,0.9104053432465847,True,True,True,
a2,2025-12-10,major,48.9883940413064,65.53311156004865,65.40864115331505,16.544717518742253,16.420247112008646,0.33772728913693223,0.33518647494676596,61.61874947954685,-3.914362080501803,0.7691939927629634,0.7042999549472752,True,True,True,
a2,2026-01-29,major,38.7416088243307,59.18738392635435,58.49761152106775,20.445775102023653,19.756002696737056,0.5277471876486244,0.5099427539604342,55.0314367409442,-4.155947185410149,0.8245508044653166,0.6298841320100276,True,True,True,
a2,2026-03-12,medium,37.299804381546394,50.7218488359352,50.5749318875537,13.422044454388804,13.275127506007308,0.35984222107688024,0.3559034082381142,49.40308381523995,-1.3187650206952455,0.9117260401616888,0.5445751757229448,True,True,True,
a3,2024-05-29,medium,112.628467067397,,,,,,,121.1116422891,,,,False,False,False,post_day1_missing|post_1_3_valid_days_lt_2
a3,2024-07-18,medium,115.7753077796245,122.0645355747935,120.803219218292,6.289227795168998,5.027911438667502,0.054322704174022934,0.04342818460252345,119.4370154013555,-2.6275201734380005,0.7282760777308805,1.009358878909967,True,True,True,
a3,2024-09-30,medium,98.16873260006565,,,,,,,100.9163380482435,,,,False,False,False,post_day1_missing|post_1_3_valid_days_lt_2
a3,2024-11-30,medium,70.6167077788506,92.1254757267771,91.5344353647637,21.5087679479265,20.9177275859131,0.3045846885879362,0.29621499279491853,87.8669406204789,-4.258535106298197,0.824670498780439,0.7648065644217938,True,True,True,
a3,2025-01-17,medium,69.0085776338597,94.5835626976787,93.3308814551264,25.574985063819,24.3223038212667,0.3706058861191539,0.3524533421093545,89.6429382013794,-4.940624496299307,0.8483719601215416,0.7798165850447885,True,True,True,
a3,2025-03-05,medium,71.3504448978816,88.1335154249107,88.0582374344901,16.783070527029096,16.707792536608494,0.23522026458348527,0.23416521873859472,86.70408450105685,-1.4294309238538432,0.9189508170833368,0.7357615499886121,True,True,True,
a3,2025-05-06,medium,75.8381457709993,,98.9473970625907,,,,,98.2681463402818,,0.9706069784027989,0.8267448037927213,False,False,True,post_day1_missing|post_1_3_valid_days_lt_2
a3,2025-07-02,major,92.0366562237859,102.319847156444,102.319847156444,10.283190932658101,10.283190932658101,0.11172929737532684,0.11172929737532684,101.881348826348,-0.4384983300959959,0.9573577566567026,0.8549229638445699,True,True,True,
a3,2025-09-15,medium,90.32581803838235,119.81234655709201,119.5586638605175,29.48652851870966,29.232845822135147,0.32644629364087113,0.323637764450837,116.764897463497,-3.04744909359502,0.9044305705295014,0.9989601245655593,True,True,True,
a3,2025-11-17,major,84.0670310107286,101.51718967961651,100.972192887315,17.45015866888791,16.905161876586405,0.20757434227290514,0.20109145848660903,97.62813787485476,-3.889051804761749,0.8021873415426001,0.843662777145503,True,True,True,
a3,2026-01-20,medium,61.06724342900715,86.15186454618765,85.8605080319794,25.084621117180504,24.793264602972258,0.4107704836283018,0.4059994067326015,82.23402716732535,-3.917837378862302,0.8537312079418816,0.7173986479052067,True,True,True,
a3,2026-02-24,medium,62.960334112411246,77.23221552013041,76.81313611833116,14.271881407719164,13.852802005919912,0.22668052209249276,0.22002427720899176,75.68949740989125,-1.5427181102391643,0.9188872613670698,0.6418042620027924,True,True,True,
a3,2026-04-05,medium,68.61455506762906,81.04938035981425,80.4932609621233,12.434825292185195,11.878705894494246,0.18122722328999977,0.17312224618794295,,,,0.672553166797014,True,True,False,post_1_7_valid_days_lt_3
a4,2024-05-28,medium,38.80225538861005,84.3841705482346,83.9397146735887,45.58191515962454,45.13745928497865,1.1747233428344628,1.163268960345749,83.6237715533244,-0.7603989949101901,0.9930004230351211,0.736153702134747,True,True,True,
a4,2024-07-16,medium,79.11249822806525,106.989508522964,106.989508522964,27.877010294898753,27.877010294898753,0.3523717607113733,0.3523717607113733,105.8092206217595,-1.1802879012045082,0.9576608865614082,0.9383010544535335,True,True,True,
a4,2024-09-21,medium,84.7999702731947,107.622608504713,106.67614911389151,22.822638231518297,21.87617884069681,0.26913497915143186,0.25797389751694144,103.637718502075,-3.9848900026379965,0.8611077997696728,0.9355528834598089,True,True,True,
a4,2024-11-20,medium,73.06883391057386,88.3766341647966,88.1376978493397,15.307800254222741,15.068863938765844,0.2094983515537879,0.2062283347399255,85.6183328579667,-2.7583013068298925,0.8328098918663849,0.7729701348370236,True,True,True,
a4,2025-01-18,medium,58.8685116239379,,98.04021087647371,,39.17169925253581,,0.6654100498203744,96.40360951710775,,0.9582198017804906,0.8598154577417958,False,True,True,post_day1_missing
a4,2025-02-20,medium,87.1401553836888,111.22409796524599,110.966821358956,24.08394258155718,23.82666597526719,0.27638168047225325,0.27342923443681566,108.2766126565005,-2.9474853087454846,0.8870925246004618,0.9731822019550369,True,True,True,
a4,2025-04-10,medium,98.1458757446661,105.07722621762,104.9158943013185,6.931350472953895,6.770018556652403,0.07062294182372295,0.06897914461800837,103.9358303749505,-1.1413958426694961,0.8552346765128189,0.9201153983311652,True,True,True,
a4,2025-06-04,medium,98.6451864933487,108.030655404498,107.849516562905,9.385468911149303,9.204330069556292,0.09514370893081674,0.09330744252966573,106.11820628105,-1.912449123447999,0.8119026296567341,0.9458433495986873,True,True,True,
a4,2025-08-06,medium,103.099523038233,124.37308076068351,124.37308076068351,21.273557722450505,21.273557722450505,0.2063400207444365,0.2063400207444365,124.95424116472,0.5811604040364955,1.0273184397089905,1.090755480929569,True,True,True,
a4,2025-10-10,medium,102.376132414605,105.635084696671,104.635411504328,3.258952282066005,2.259279089723009,0.03183312560458752,0.02206841610868179,102.486853374616,-3.148231322054997,0.0490072078808921,0.917655556167148,True,True,True,
a4,2025-12-09,medium,76.7645039590261,99.23810803312139,98.90487447910189,22.47360407409529,22.14037052007579,0.2927603633847595,0.2884193784655139,96.3653180703645,-2.8727899627568974,0.8852974747448489,0.8673985823050746,True,True,True,
a4,2026-01-21,medium,77.7478988832152,109.1700322091965,108.62023205071651,31.422133325981306,30.87233316750131,0.40415411576820054,0.3970825399908815,105.994711797449,-3.1753204117475065,0.9149555610512994,0.9526025465038866,True,True,True,
a4,2026-03-12,medium,88.2974733553929,,114.78918601857175,,26.49171266317886,,0.3000279810561628,113.49376674081,,0.951100961488146,1.0067044495112407,False,True,True,post_day1_missing
a5,2024-05-19,medium,101.219575313384,115.54213300327149,115.62811509935099,14.32255768988749,14.408539785966994,0.14149987930243424,0.14234934044483974,115.38116900875201,-0.16096399451947718,0.9828611299779668,0.9843850860502988,True,True,True,
a5,2024-07-18,medium,109.873108779755,118.2364375370455,118.18405442565151,8.363328757290503,8.31094564589651,0.0761180679255661,0.07564130785228013,117.4260846301325,-0.8103529069130104,0.9087986099520142,1.0061447467651503,True,True,True,
a5,2024-09-21,major,107.365983631985,112.874580614394,112.48478605856201,5.508596982409003,5.118802426577005,0.05130672486819147,0.04767620295942673,108.108664854648,-4.765915759746008,0.1450888627400361,0.957624758549995,True,True,True,
a5,2024-11-24,medium,84.0695893493556,116.0000848610695,115.428113692223,31.9304955117139,31.358524342867398,0.3798102947669347,0.3730067505451395,112.329391890558,-3.670692970511496,0.9011840682366227,0.9826823997944802,True,True,True,
a5,2025-01-21,medium,88.07367363863139,119.142859645245,117.920819312657,31.069186006613606,29.84714567402561,0.35276359805418467,0.33888839242120455,115.493288536542,-3.6495711087030003,0.9186679087297933,1.0039037284874253,True,True,True,
a5,2025-02-25,medium,101.456240681067,110.272804021893,109.621005187728,8.816563340825994,8.164764506661001,0.08690015795619041,0.08047572482334887,108.246505824729,-2.026298197163996,0.831654744986502,0.9332443284396977,True,True,True,
a5,2025-04-15,medium,97.1792546567569,103.718133324621,103.6711208103785,6.538878667864097,6.491866153621601,0.0672867752583596,0.06680300416535681,102.222377531206,-1.495755793414986,0.7768371613200492,0.8825907530549045,True,True,True,
a5,2025-06-14,medium,87.6777655612735,104.216035748573,104.216035748573,16.538270187299503,16.538270187299503,0.1886255891836312,0.1886255891836312,103.7963596848155,-0.41967606375750677,0.9746239444026138,0.8872298162953958,True,True,True,
a5,2025-08-19,medium,96.56666102249196,101.19692290585701,101.074890366614,4.630261883365051,4.508229344122043,0.04794886593714354,0.046685152995732164,100.20826715523,-0.9886557506270037,0.8077686059796574,0.8604880790936832,True,True,True,
a5,2025-11-06,medium,60.0861439180521,73.88237424649284,73.19054880808145,13.796230328440743,13.104404890029343,0.22960751728812215,0.21809362417900635,69.96946738310365,-3.912906863389196,0.754198572769329,0.623098323661217,True,True,True,
a5,2026-01-08,medium,38.713163273317846,65.9467717891756,65.3412031189142,27.233608515857753,26.628039845596348,0.7034715381842198,0.6878290894908375,62.3434018248803,-3.6033699642952968,0.8874193777906015,0.5562739287030325,True,True,True,
a5,2026-02-26,medium,36.7371143200573,58.59190995757095,57.83363396504235,21.854795637513647,21.09651964498505,0.5948969058133567,0.5742563082443037,56.570867993963745,-2.0210419636072032,0.9401433984217019,0.49235920431949726,True,True,True,
