device_id,event_date,maintenance_type,pre_level_median_3d,post_day1_level,post_level_median_3d,jump_gain,plateau_gain,jump_gain_ratio,plateau_gain_ratio,post_day7_level,post_7d_change,hold_ratio_7d,upper_recovery_ratio,eligible_jump,eligible_plateau,eligible_post_decay,ineligible_reason
a5,2026-04-03,medium,48.5104621936956,81.64466143779545,81.47394416566925,33.13419924409985,32.96348197197365,0.6830320253762899,0.6795128407631945,80.09760020350569,-1.5470612342897567,0.9582464023875341,0.693617944644933,True,True,True,
a6,2024-06-06,medium,36.0946910836603,61.5475824324558,61.52568294333765,25.452891348795497,25.43099185967735,0.7051699456244346,0.7045632223512698,61.110909787856,-0.4366726445997955,0.9836902485844723,0.591297986710367,True,True,True,
a6,2024-08-27,medium,54.30497944945035,82.71064493044405,82.50882038774904,28.405665480993697,28.20384093829869,0.5230766270234029,0.5193601254292374,79.8425292776401,-2.868115652803951,0.9054635460488532,0.7929582744502678,True,True,True,
a6,2024-11-06,major,41.6673133874083,,62.84393169235338,,21.17661830494508,,0.508230950914742,58.277577736158,,0.7843681228778128,0.6039671322441814,False,True,True,post_day1_missing
a6,2024-12-31,medium,30.0594132588173,71.09103459294684,71.02630650212996,41.03162133412954,40.966893243312654,1.365017373454346,1.3628640349889687,68.5992154967095,-2.491819096237336,0.9407548189948076,0.6826045649401548,True,True,True,
a6,2025-02-19,major,48.10670300409615,72.8689277208669,72.2707714174273,24.76222471677076,24.16406841333115,0.514735435406212,0.5023014861624097,70.30475995130149,-2.5641677695654153,0.9186390539665427,0.6945646044512105,True,True,True,
a6,2025-04-11,medium,56.9120360684931,82.2237842166425,82.1228498612746,25.311748148149398,25.2108137927815,0.4447521103916744,0.44297859529117045,81.2913452859965,-0.9324389306460006,0.9670179399160774,0.7892488707619891,True,True,True,
a6,2025-06-04,medium,72.1130183311281,97.106119178768,97.0306179538166,24.993100847639894,24.9175996226885,0.346582370645987,0.34553538597250255,96.317780529383,-0.7883386493849969,0.9713922113194028,0.9325212870565517,True,True,True,
a6,2025-08-23,medium,87.4613825392079,123.3361127326515,122.68167197599351,35.8747301934436,35.220289436785606,0.4101779454190697,0.402695320085945,121.600708374531,-1.7354043581205048,0.969308497495381,1.1790429975799532,True,True,True,
a6,2025-11-02,medium,87.1819500858833,105.3574299137445,104.83204989073701,18.175479827861196,17.65009980485371,0.20847755538797258,0.20245130772443748,102.234915652854,-3.1225142608904974,0.8528544163150392,1.0074976347714943,True,True,True,
a6,2026-01-03,medium,73.41646095967005,96.1407081426762,95.7917253200831,22.724247183006156,22.375264360413055,0.3095252329785999,0.30477176464150846,91.92914750062116,-4.211560642055048,0.8273728632991828,0.9206148004475111,True,True,True,
a6,2026-02-15,medium,69.68334849976853,85.2474401992108,84.77555176460686,15.564091699442272,15.092203264838332,0.2233545321016537,0.21658263544680928,82.05933033071385,-3.1881098684969515,0.8200248574559529,0.8147428956918331,True,True,True,
a6,2026-03-25,medium,73.16003427931975,87.34616234694971,87.34616234694971,14.186128067629966,14.186128067629966,0.19390543221273449,0.19390543221273449,85.48989590262545,-1.8562664443242625,0.8691491832390892,0.8394479747619109,True,True,True,
a7,2024-05-18,medium,83.87734116054945,94.0550721287407,93.75478461332969,10.177730968191256,9.877443452780241,0.12134064846798233,0.11776056937562966,92.696269573303,-1.3588025554377055,0.8928351202325793,0.8987828360077961,True,True,True,
a7,2024-07-04,medium,86.2334507395979,104.652294379127,104.34057372844251,18.4188436395291,18.10712298884461,0.21359279353378902,0.209977947461749,102.925848155558,-1.726446223568999,0.9218691134005061,1.000263796168936,True,True,True,
a7,2024-09-24,medium,88.7269719532506,121.596704296963,120.752702566952,32.8697323437124,32.0257306137014,0.3704593047650849,0.3609469579394127,118.245765263042,-3.3509390339209943,0.921721151840406,1.1575991232483782,True,True,True,
a7,2024-11-22,medium,87.8971197241524,104.8240620023855,104.202986805275,16.9269422782331,16.3058670811226,0.19257675713783268,0.18551082370270283,101.0193736984105,-3.8046883039749986,0.8047565890838037,0.998944815324256,True,True,True,
a7,2025-01-20,medium,76.6262762157323,80.32369672975159,79.5045083236408,3.697420514019285,2.8782321079085023,0.048252645131933995,0.037561946763603346,76.7704982990548,-3.5531984306967956,0.050107871052585094,0.7621721681857269,True,True,True,
a7,2025-02-24,medium,67.33931184373711,96.0655505295392,95.6033616401231,28.726238685802088,28.26404979638599,0.42658943044238684,0.41972584843120414,93.7751045866352,-2.2904459429040003,0.9353151064104878,0.9165042708078716,True,True,True,
a7,2025-04-16,major,83.579039455355,102.917844907638,102.237070403527,19.338805452282998,18.658030948171998,0.2313834375018525,0.22323815958830762,,,,0.9800985033605026,True,True,False,post_1_7_valid_days_lt_3
a7,2025-06-16,medium,97.7781842336066,103.811758298631,103.161996446138,6.0335740650244105,5.38381221253141,0.06170675097227523,0.055061486922979505,102.18881158327349,-1.6229467153575143,0.819238705874748,0.9889653324519877,True,True,True,
a7,2025-09-01,medium,94.2398341725102,99.93289286634445,99.5956337561154,5.693058693834246,5.355799583605204,0.06041032164183194,0.056831589641819356,97.6909607849219,-2.241932081422547,0.6443718736182817,0.9547762978764107,True,True,True,
a7,2025-10-18,medium,79.4156571103918,,100.5639641305705,,21.14830702017869,,0.26629896156096106,97.8855827539797,,0.8733524449954689,0.9640592237957083,False,True,True,post_day1_missing
a7,2025-12-22,medium,65.08146537965575,69.46547851450916,68.9058030614694,4.384013134853404,3.8243376818136454,0.06736193030195402,0.05876231672879819,65.28702641966295,-4.178452094846207,0.05375075558435315,0.6605673870235417,True,True,True,
a7,2026-02-08,major,40.02349660557743,68.1775403470685,68.1775403470685,28.154043741491073,28.154043741491073,0.7034378834748711,0.7034378834748711,64.36055318368855,-3.816987163379949,0.8644249046983332,0.6535858763677654,True,True,True,
a7,2026-03-25,medium,52.0313584982909,68.8570968981098,68.29334828104865,16.825738399818903,16.26198978275775,0.32337688050892593,0.3125420948463592,66.40944913291855,-2.447647765191249,0.8841532202825784,0.6546960723301812,True,True,True,pre_window_valid_days_lt_2
a8,2024-06-02,medium,114.704449112768,,130.44574238297702,,15.741293270209013,,0.13723350220472674,130.66279415767,,1.013788687559983,1.025722137754084,False,True,True,post_day1_missing
a8,2024-08-10,medium,126.8788691264635,132.189927571749,131.24484123919302,5.3110584452854965,4.365972112729523,0.04185928265164332,0.034410553489232665,129.76684404000503,-2.42308353174397,0.6614735135667231,1.0320056190858724,True,True,True,
a8,2024-10-31,medium,87.06371111103951,114.9899897333745,114.089737030711,27.92627862233499,27.026025919671497,0.32075681435998415,0.3104166543647902,111.346474212174,-3.6435155212004986,0.8984955158893613,0.8971114489836634,True,True,True,
a8,2025-01-03,medium,85.91548927581326,88.8404665111528,88.6932611074795,2.92497723533954,2.777771831666243,0.034044818460493516,0.03233144401644274,85.9495382091029,-2.8909283020499004,0.012257642222981086,0.6974136505003868,True,True,True,
a8,2025-02-13,medium,70.2224315330411,99.79017230372929,99.39734564462175,29.56774077068819,29.174914111580648,0.4210583445373286,0.41546431068615514,96.1767698841365,-3.613402419592788,0.8896114741531707,0.7815821045531332,True,True,True,
a8,2025-03-27,medium,83.0254230059178,95.4066176783399,95.2454132000214,12.381194672422097,12.219990194103602,0.14912534286684218,0.14718371495960458,93.89788625326835,-1.5087314250715451,0.8897276572772326,0.7489345919161721,True,True,True,
a8,2025-05-13,medium,85.2544676374733,107.9330337676405,107.500805733157,22.678566130167198,22.246338095683697,0.26601029551440086,0.2609404376352636,106.489740014948,-1.4432937526924974,0.9545513641903534,0.8453013049913835,True,True,True,
a8,2025-07-06,medium,99.9893235033178,104.561708233399,104.561708233399,4.572384730081197,4.572384730081197,0.04572872952710274,0.04572872952710274,103.469201205143,-1.0925070282560085,0.7610640633390866,0.8221905670290162,True,True,True,
a8,2025-09-08,medium,91.7576422515039,94.1897432722938,94.1897432722938,2.4321010207899008,2.4321010207899008,0.026505705259117412,0.026505705259117412,92.0535959969003,-2.1361472753934976,0.1216864525225531,0.7406336386213349,True,True,True,
a8,2025-11-03,medium,64.14210181720804,89.2709077160329,88.5433738473829,25.12880589882485,24.40127203017485,0.3917677342478867,0.3804252018387785,86.18958156212805,-3.0813261539048398,0.9035381318504987,0.6962350556452399,True,True,True,
a8,2025-12-28,medium,64.18863421101055,74.1889797537193,73.6773204845521,10.000345542708743,9.488686273541546,0.15579620388609766,0.14782502214253238,71.01237373166356,-3.1766060220557364,0.7191448135112726,0.5793401707932604,True,True,True,
a8,2026-02-09,medium,49.8796236010463,67.06593134230985,65.64241096817909,17.186307741263555,15.762787367132795,0.3445556822706867,0.3160165660673139,62.1140425638038,-4.951888778506053,0.7761583454629133,0.5161599978321667,True,True,True,
a8,2026-03-31,medium,45.252556916108404,64.67096387577746,64.69110573468689,19.418406959669056,19.438548818578482,0.4291118178287236,0.42955691663157725,62.56577340492665,-2.1051904708508076,0.8906640434120814,0.5086796859421129,True,True,True,
a9,2024-05-30,medium,76.5131489398356,102.43400322707001,102.35914532337576,25.920854287234405,25.845996383540154,0.33877646713529835,0.33779810060965565,102.482628574358,0.04862534728799517,1.0047776548889749,0.9773538116714159,True,True,True,
a9,2024-08-02,medium,96.68425319562495,104.524665846118,104.730901031968,7.84041265049305,8.046647836343055,0.08109296386278377,0.08322604323231379,105.130620461275,0.6059546151570032,1.0496752731617813,1.0,True,True,True,
a9,2024-10-15,medium,86.8478386887418,105.088275448058,104.333020843735,18.240436759316196,17.485182154993197,0.21002752670321465,0.20133122964244618,101.613887216853,-3.4743882312049976,0.8444892593752303,0.9962009284336095,True,True,True,
a9,2024-12-15,medium,74.6207493629595,83.49881285752664,82.76463953187644,8.878063494567144,8.14389016891694,0.11897580190978445,0.10913707297824901,78.4856616816904,-5.013151175836242,0.4745781485956482,0.7902599778704607,True,True,True,
a9,2025-01-31,medium,52.6741489645508,,,,,,,80.171755988467,,,,False,False,False,post_day1_missing|post_1_3_valid_days_lt_2
a9,2025-03-19,medium,63.2767134076332,80.5244020011574,80.448065231775,17.247688593524195,17.1713518241418,0.27257560743418086,0.2713692115063357,78.6257079325884,-1.8986940685690001,0.8938722287068575,0.7681406770979567,True,True,True,
a9,2025-05-15,major,66.9294458970587,83.59270746137135,83.1983810026356,16.66326156431265,16.2689351055769,0.24896757086472365,0.24307589712604896,81.6210880219594,-1.9716194394119526,0.9030487877393083,0.794401463014628,True,True,True,
a9,2025-07-09,medium,74.18507403501165,92.62249594843931,92.21113467091,18.437421913427656,18.026060635898347,0.2485327696070791,0.24298770164185515,91.2023969742549,-1.4200989741844126,0.944040036421145,0.8804577613894826,True,True,True,
a9,2025-09-12,medium,83.17168794827941,106.447057715388,105.7557845449935,23.275369767108586,22.58409659671409,0.27984726944080357,0.2715358694025554,102.166443897496,-4.280613817892004,0.8410677782869674,1.0097858750657809,True,True,True,
a9,2025-11-16,medium,70.36325215927695,90.2008777635011,89.1555503112217,19.837625604224144,18.79229815194475,0.2819316190689841,0.2670754630471852,86.7416650969332,-3.4592126665678933,0.8715492275201746,0.8512821854173479,True,True,True,
a9,2026-01-09,medium,58.244942570590496,69.1248078831741,68.6096993901862,10.879865312583604,10.364756819595698,0.18679502172051507,0.17795118961674716,67.0131432008515,-2.1116646823225977,0.8459629861921865,0.6551046416495911,True,True,True,
a9,2026-02-23,medium,48.075061664106556,76.7865975464778,76.40227114147746,28.711535882371237,28.3272094773709,0.5972230692697713,0.5892287705274094,,,,0.7295103010539026,True,True,False,post_1_7_valid_days_lt_3
a9,2026-04-01,major,68.42481496117199,,86.8373813969229,,,,,84.5261312458208,,0.8744743075786312,0.8291476588215039,False,False,True,post_day1_missing|post_1_3_valid_days_lt_2
a10,2024-05-25,medium,119.260266857248,141.6506116546025,141.6506116546025,22.3903447973545,22.3903447973545,0.18774354097459187,0.18774354097459187,141.3923427725175,-0.258268882084991,0.9884651672664055,1.0213742545203364,True,True,True,
a10,2024-07-25,major,138.4274623382755,145.234025833258,145.42729217895447,6.806563494982498,6.999829840678984,0.0491706152811592,0.05056677137931984,146.06595735727598,0.831931524017989,1.0912401005250083,1.0486060766075382,True,True,True,
a10,2024-10-01,medium,124.759991895217,126.9871527218385,126.829030764605,2.2271608266214997,2.0690388693879953,0.017851562770956574,0.016584153605313894,124.23405804732201,-2.7530946745164897,-0.25419234779796906,0.914502981918654,True,True,True,
a10,2024-11-20,medium,97.3491552544051,101.283844895733,100.789463712952,3.9346896413278927,3.4403084585468946,0.04041832341580433,0.03533989020815071,97.8161156501573,-3.467729245575697,0.13573213023736505,0.7267442205921177,True,True,True,
a10,2025-01-18,medium,68.2346120550131,96.16126169596275,95.4294426215316,27.92664964094965,27.194830566518505,0.4092739564260176,0.3985489145097373,92.4912497626292,-3.670011933333555,0.8919576699801237,0.6880956931871539,True,True,True,
a10,2025-02-24,medium,75.5131595224285,93.9158788486118,93.1524829089444,18.402719326183302,17.639323386515912,0.24370214996390702,0.2335927075237367,91.43980805025825,-2.476070798353547,0.9029058642920861,0.6716776346849616,True,True,True,
a10,2025-04-11,major,80.8824506127193,95.4631900988347,95.2036491142809,14.580739486115405,14.32119850156161,0.1802707432287232,0.17706187674918827,94.12378546547666,-1.3394046333580434,0.9245968381287014,0.6864676050874989,True,True,True,
a10,2025-06-05,medium,83.7301424502668,102.239251167637,102.121666972003,18.509108717370196,18.3915245217362,0.22105669685638066,0.2196523734885584,102.452012361261,0.21276119362400436,1.0179618274095537,0.7363500958840693,True,True,True,
a10,2025-08-19,medium,96.4974428846984,101.9192873119695,101.06230884371,5.421844427271097,4.564865959011598,0.05618640520608903,0.047305563987493485,100.785330430236,-1.1339568817334964,0.9393238671275311,0.7287115752598615,True,True,True,
a10,2025-11-01,medium,63.3291113358617,76.7441907693735,76.5983848541195,13.415079433511806,13.269273518257805,0.2118311650129722,0.2095288128690943,74.9911952147055,-1.7529955546680043,0.8788788521690659,0.5523140162543456,True,True,True,
a10,2026-01-01,major,36.9564149886565,49.3230315811793,48.958543573549804,12.366616592522803,12.002128584893306,0.3346270626173736,0.32476441745167306,45.915914041193,-3.4071175399863023,0.7464925066553223,0.35301644914013386,True,True,True,
a10,2026-02-13,medium,27.4133580198165,48.8037676539503,47.4460731932819,21.390409634133803,20.032715173465398,0.7802914775589024,0.7307647300627745,42.649355455469546,-6.154412198480756,0.7605557860591006,0.3421107545646877,True,True,True,
a10,2026-03-26,medium,29.06388517552775,52.94869185478525,52.789792587952505,23.8848066792575,23.725907412424753,0.8218036417020008,0.8163364006269314,51.5484326767382,-1.400259178047051,0.9476791386885279,0.38064173829531966,True,True,True,
